CAMPING_UNIT_TYPE,CAMPING_UNIT_NAME,ID,NAME,CAMPSITE_TYPE_NAME,CAMPING_UNIT_DESCRIP,CAMPGROUND_LOOP_NAME,CAMPGROUND_NAME,CAMPGROUND_TYPE_NAME,CONTAINING_MGMT_UNIT_NAME,LAM_PROGRAM_PROJECT_CODE,CONTAINING_MGMT_UNIT_TYPE_NAME,SHAPE_COLLECTION_METHOD,AMPS_30_FLAG,AMPS_50_FLAG,SITE_PAD_LENGTH_FT,SITE_PAD_WIDTH_FT,SITE_PAD_TYPE_NAME,PULL_THROUGH_BACK_IN_FLAG,LEFT_SLIDE_OUT_FLAG,RIGHT_SLIDE_OUT_FLAG,TENT_PAD_DIMENSIONS_FT_X_FT,TENT_PAD_TYPE_NAME,DISTANCE_TO_WATER_BODY,DISTANCE_TO_RESTROOM,DISTANCE_TO_SHOWER,DISTANCE_TO_DUMP_STATION,HIKE_IN_DISTANCE,PICNIC_TABLE_FLAG,ADA_ACCESSIBLE_FLAG,DIRECTIONS,FOOD_LOCKER_FLAG,WATER_FRONT_FLAG,PETS_ALLOWED_FLAG,CAPACITY_PEOPLE,CAPACITY_VEHICLES,FIRE_RING_FLAG,GRILL_TYPE_NAME,SEATING_TYPE_NAME,SHADE_TYPE_NAME,COUNTY_NAME,PAT_AREA_NAME,PAT_DISTRICT_NAME,DNR_REGION_NAME,DNR_REGION_CODE,MN_TOURISM_REGION_NAME
Campsite,16E,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,43,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.1 mile,240',240',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,17E,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,48,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.1 mile,270',270',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,18E-NR,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,32,12,Gravel,B,f,f,12x16,Grass/ Bare Ground,.1 mile,300',300',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,19E,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,40,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.1 mile,350',350',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,20E,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,34,12,Gravel,B,t,t,12x16,Grass/ Bare Ground,.1 mile,400',400',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,21E-NR,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,41,12,Gravel,B,t,t,12x16,Grass/ Bare Ground,.2 mile,470',470',.5 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,28-NR,,,Drive-In,,,Oak Ridge Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,44,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.2 mile,.25 mile,.25 mile,.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,30-NR,,,Drive-In,,,Oak Ridge Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,40,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.2 mile,.25 mile,.25 mile,.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,31-NR,,,Drive-In,,,Oak Ridge Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,47,12,Gravel,B,f,t,24x24,Grass/ Bare Ground,.3 mile,.25 mile,.3 mile,.5 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,32-NR,,,Drive-In,,,Oak Ridge Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,32,12,Gravel,B,t,f,12x12,Grass/ Bare Ground,.3 mile,.25 mile,.25 mile,.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,Baby,,,Backpack,,,,,Glacial Lakes State Park,SPK00166,State Park,Global Positioning System,,,,,,,,,Unknown,Grass/ Bare Ground,.1 mile,50',,,2 miles,t,,,f,t,t,6,2,t,On Fire Ring,,Fully,Pope,1B,1,Northwest Region,1,Central
Campsite,Camp Host 03E-NR,,,Drive-In Electric,,,Lower Campground,,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,t,44,12,Gravel,B,t,t,20x20,Grass/ Bare Ground,.1 mile,150',150',.1 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Pope,1B,1,Northwest Region,1,Central
Campsite,H1-NR,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H2-NR,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H3,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H4,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H5,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H6,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H7,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,H8,,,Drive-In Equestrian,,,Equestrian Campground,Horse Campground,Glacial Lakes State Park,SPK00166,State Park,Heads-Up Digitizing,,,,,Grass,,,,,,,,,,,t,,,,,t,6,1,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,Hill,,,Backpack,,,,,Glacial Lakes State Park,SPK00166,State Park,Global Positioning System,,,,,,,,,,Grass/ Bare Ground,1.3 miles,60',,,,t,,,,,t,6,2,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,Kettle,,,Backpack,,,,,Glacial Lakes State Park,SPK00166,State Park,Global Positioning System,,,,,,,,,Unknown,Grass/ Bare Ground,.01 mile,50',,,,t,,,,t,t,6,2,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,Oak,,,Backpack,,,,,Glacial Lakes State Park,SPK00166,State Park,Global Positioning System,,,,,,,,,Unknown,Grass/ Bare Ground,1.3 miles,60',,,,t,,,,,t,6,2,t,On Fire Ring,,No ,Pope,1B,1,Northwest Region,1,Central
Campsite,2,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,14X22,Bare Ground,.1 mile,75',75',,,t,t,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,4,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X18,Bare Ground,.1 mile,275',275',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,5,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X20,Bare Ground,.1 mile,250',375',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,7,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X18,Bare Ground,.1 mile,125',475',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,11,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,14X16,Bare Ground,.1 mile,200',800',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,14,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,20x22,Bare Ground,.1 mile,350',950',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,15,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X20,Bare Ground,.1 mile,525',.2 mile,,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,16,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X20,Bare Ground,.1 mile,525',.2 mile,,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,17,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X16,Bare Ground,.1 mile,500',.2 mile,,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,18,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X22,Bare Ground,.1 mile,400',900',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,19,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X20,Bare Ground,.1 mile,350',850',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,20,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,12X18,Bare Ground,.1 mile,350',600',,,t,,,,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,21,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X20,Bare Ground,.1 mile,450',525',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,22,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X20,Bare Ground,.1 mile,425',425',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,23,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,14X18,Bare Ground,.1 mile,400',400',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,24,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,20X20,Bare Ground,.1 mile,325',325',,,t,,,t,,t,6,2,t,On Fire Ring,,No ,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,25,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X22,Bare Ground,.1 mile,200',200',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,27,,,Canoe-In/Boat-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Heads-Up Digitizing,,,1,1,None,,,,14X20,Wood Chips,0,375',,,,t,,,t,t,t,6,0,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,28,,,Canoe-In/Boat-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Heads-Up Digitizing,,,1,1,None,,,,14X18,Wood Chips,0,350',,,,t,,,t,t,t,6,0,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,29,,,Canoe-In/Boat-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Heads-Up Digitizing,,,1,1,None,,,,14X16,Wood Chips,0,100',,,,t,,,t,t,t,6,0,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,08-NR,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X18,Bare Ground,.1 mile,100',500',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,09-NR,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,18X20,Bare Ground,.1 mile,100',700',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,13-NR,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,12X14,Bare Ground,.1 mile,350',950',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,26-NR,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Global Positioning System,,,,,,,,,16X18,Bare Ground,.1 mile,200',200',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,CI1,,,Cart-In,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Heads-Up Digitizing,,,,,,,,,16X24,Bare Ground,.1 mile,100',100',,,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,HOST,,,Drive-In Electric,,,Cart-In Campground,,Glendalough State Park,SPK00167,State Park,Heads-Up Digitizing,,,,,,,,,,,.1 mile,200',200',,,,,,,,,,,t,On Fire Ring,,,Otter Tail,1B,1,Northwest Region,1,Central
Campsite,1,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,43,11,Gravel,B,,t,9x13,Wood Chips,<.25 mile,185',185',.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,3,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,47,13,Gravel,B,,t,9x13,Wood Chips,<.25 mile,70',70',.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,4,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,50,11,Gravel,B,t,t,11x11,Wood Chips,< .25 mile,165',165',.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,5,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,50,10,Gravel,B,,t,11x11,Wood Chips,< .25 mile,185',185',.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,6,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,62,12,Gravel,P,t,t,,Wood Chips,< .25 mile,230',230',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,7,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,50,11,Gravel,B,t,t,9x12,Wood Chips,<.25 mile,230',230',.4 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,10,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,51,10,Gravel,B,,,9x10,Wood Chips,<.25 mile,560',560',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,11,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,25,9,Gravel,B,,,9x13,Wood Chips,< .25 mile,520',520',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,12,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,34,11,Gravel,B,t,,9x13,Wood Chips,<.25 mile,580',580',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,14,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,48,12,Gravel,B,t,t,9x10,Wood Chips,< .25 mile,620',620',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,15,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,67,13,Gravel,P,t,t,,,<.25 mile,780',780',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,16,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,53,11,Gravel,B,t,t,9x10,Wood Chips,<.25 mile,780',780',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,17,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,50,13,Gravel,B,,t,9x11,Wood Chips,<.25 mile,765',765',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,18,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,52,11,Gravel,B,,t,9x10,Wood Chips,<.25 mile,650',650',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,19,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,45,12,Gravel,B,,,10x12,Wood Chips,< .25 mile,650',650',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,20,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,54,10,Gravel,B,t,t,9x13,Wood Chips,<.25 mile,565',565',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,21,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,44,12,Gravel,B,t,t,9x13,Wood Chips,<.25 mile,520',520',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,22,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,54,10,Gravel,B,t,t,9x13,Wood Chips,<.25 mile,565',565',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,25,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,52,10,Gravel,B,t,t,9x13,Wood Chips,<.25 mile,440',440',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,26,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,48,13,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,375',375',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,27,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,33,11,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,325',325',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,29,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,48,10,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,450',450',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,30,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,48,10,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,450',450',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,31,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,45,11,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,520',520',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,32,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,31,10,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,520',520',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,36,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,38,12,Gravel,B,,t,9x13,Wood Chips,<.25 mile,620',620',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,37,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,35,12,Gravel,B,,t,8x10,Wood Chips,< .25 mile,560',560',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,38,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,25,12,Gravel,B,t,t,9x13,Wood Chips,< .25 mile,490',490',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,39,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,58,12,Gravel,B,,t,9x9,Wood Chips,< .25 mile,290',290',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,42,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,44,12,Gravel,B,t,t,9x13,Wood Chips,<.25 mile,100',100',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,43,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,51,12,Gravel,B,t,t,9x13,Wood Chips,<1/8 mile,200',200',.2 mile,,t,t,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,44,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,76,13,Gravel,B,t,t,9x13,Wood Chips,< 1/8 mile,200',200',.2 mile,,t,t,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,45,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,39,12,Gravel,B,t,,9x13,Wood Chips,<1/8 mile,90',90',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,46,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,39,12,Gravel,B,,t,9x10,Wood Chips,< 1/8 mile,92',92',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,47,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,45,12,Gravel,B,,t,9x13,Wood Chips,< 1/8 mile,136',136',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,49,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,40,12,Gravel,B,t,t,9x13,Wood Chips,<1/8 mile,235',235',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,50,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,35,11,Gravel,B,t,t,6x8,Wood Chips,< 1/8 mile,350',350',.3 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,52,,,Drive-In,,,Gooseberry Falls Campground,,Gooseberry Falls State Park,SPK00172,State Park,Global Positioning System,,,49,11,Gravel,B,t,t,9x13,Wood Chips,<1/8 mile,435',435',.2 mile,,t,,,f,,t,6,1,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
